('2018-04-03 15:59:47.701592', 1522785587701591550, 'Subject', 'lsof', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:24.031811', 1522775904031811038, 'File', '/var/mail/frank', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:14:39.611823', 1522775679611822632, 'File', '/var/mail/admin', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:17:40.561810', 1522775860561810114, 'File', '/var/spool/postfix/active/1D6F829D07', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:23.941825', 1522775903941824781, 'File', '/var/mail/alice', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:24.091818', 1522775904091817883, 'File', '/var/spool/postfix/active/CAA0129D07', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:24.041812', 1522775904041812232, 'File', '/usr/local/libexec/postfix/local', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:24.151809', 1522775904151809358, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf.d/pcre.cf', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:14:39.671825', 1522775679671824967, 'File', '/etc/pwd.db', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:17:40.521813', 1522775860521812678, 'File', '/etc/spwd.db', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:14:39.651820', 1522775679651819638, 'File', '/usr/local/etc/postfix/main.cf', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:14:39.611823', 1522775679611822632, 'File', '/var/run/ld-elf.so.hints', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:24.151809', 1522775904151809358, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:14:39.891819', 1522775679891819448, 'File', '/etc/services', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:17:40.511810', 1522775860511810074, 'File', '/var/mail/henry.lock', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:14:39.651820', 1522775679651819638, 'File', '/usr/share/zoneinfo/UTC', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:14:39.791821', 1522775679791821276, 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:55:00.191597', 1522785300191597316, 'File', '/var/db/entropy/saved-entropy.8', '2018-04-03 15:55:00.191597316~2018-04-03 16:00:00.241594335_0')
('2018-04-03 15:55:00.191597', 1522785300191597316, 'File', '/dev/null', '2018-04-03 15:55:00.191597316~2018-04-03 16:00:00.241594335_0')
('2018-04-03 16:00:00.241594', 1522785600241594335, 'File', '/dev/random', '2018-04-03 15:55:00.191597316~2018-04-03 16:00:00.241594335_0')
('2018-04-03 16:00:00.231597', 1522785600231596559, 'File', '/var/run/ld-elf.so.hints', '2018-04-03 15:55:00.191597316~2018-04-03 16:00:00.241594335_0')
('2018-04-03 15:58:00.361595', 1522785480361595297, 'Subject', 'sshd', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:58:01.961599', 1522785481961598569, 'File', '/var/log/utx.log', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:51:53.381601', 1522785113381601472, 'Netflow', '128.55.12.10:53', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:58:00.631596', 1522785480631595789, 'File', '/dev/tty', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:51:53.641604', 1522785113641603702, 'File', '/etc/spwd.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:58:00.151593', 1522785480151592961, 'File', '/var/run/ld-elf.so.hints', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 16:02:54.341589', 1522785774341589207, 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:15:19.961811', 1522775719961811346, 'File', '/etc/login.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 11:30:06.991955', 1522769406991954772, 'File', '/etc/nsswitch.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:20:48.331805', 1522776048331805483, 'File', '/usr/share/zoneinfo/UTC', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:54:45.131601', 1522785285131600544, 'File', '/etc/nsswitch.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:50:43.351604', 1522785043351604443, 'File', '/etc/resolv.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:16:53.671810', 1522775813671809643, 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:15:25.211824', 1522775725211823753, 'File', '/usr/share/zoneinfo/UTC', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:58:01.151596', 1522785481151595572, 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 16:02:55.031587', 1522785775031586512, 'File', '/etc/nsswitch.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:58:01.151596', 1522785481151595572, 'File', '/usr/share/zoneinfo/UTC', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:58:01.091597', 1522785481091596986, 'File', '/etc/resolv.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 16:00:00.031594', 1522785600031593589, 'File', '/etc/spwd.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 16:02:54.581600', 1522785774581599701, 'File', '/etc/login.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:58:00.651601', 1522785480651600801, 'File', '/etc/nsswitch.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 16:00:00.801595', 1522785600801595022, 'File', '/etc/spwd.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 16:00:00.641592', 1522785600641592366, 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:29.071814', 1522775669071814481, 'File', '/etc/login.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 16:00:00.731595', 1522785600731594940, 'File', '/usr/share/zoneinfo/UTC', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:29.781810', 1522775849781809772, 'File', '/etc/nsswitch.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:51:53.951606', 1522785113951605701, 'File', '/usr/share/misc/termcap.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:49:41.671606', 1522784981671606133, 'File', '/etc/pwd.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:59:46.431592', 1522785586431592006, 'File', '/var/run/ld-elf.so.hints', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:58:46.001593', 1522785526001593440, 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 16:00:46.951591', 1522785646951590704, 'File', '/usr/share/zoneinfo/UTC', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:27:30.551797', 1522776450551796692, 'File', '/etc/nsswitch.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:52:04.081604', 1522785124081604187, 'File', '/dev/tty', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:50:00.011603', 1522785000011602806, 'File', '/etc/spwd.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 16:00:00.061596', 1522785600061596487, 'File', '/var/run/ld-elf.so.hints', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:15:00.021819', 1522775700021819396, 'File', '/etc/login.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:54:45.101597', 1522785285101597446, 'File', '/var/run/ld-elf.so.hints', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 16:00:48.001592', 1522785648001592496, 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:18:26.761809', 1522775906761808961, 'File', '/usr/share/zoneinfo/UTC', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.861825', 1522775679861825275, 'File', '/var/spool/postfix/active/6762529D07', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.561810', 1522775860561810114, 'File', '/var/spool/postfix/active/1D6F829D07', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:18:24.091818', 1522775904091817883, 'File', '/var/spool/postfix/active/CAA0129D07', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:18:24.151809', 1522775904151809358, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf.d/pcre.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.521813', 1522775860521812678, 'File', '/etc/spwd.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.651820', 1522775679651819638, 'File', '/usr/local/etc/postfix/main.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:18:24.151809', 1522775904151809358, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.651820', 1522775679651819638, 'File', '/usr/share/zoneinfo/UTC', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.791821', 1522775679791821276, 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.471816', 1522775679471815784, 'File', '/var/spool/postfix/active/6762529D07', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.021809', 1522775860021809440, 'File', '/usr/local/libexec/postfix/cleanup', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.161809', 1522775860161809438, 'File', '/var/spool/postfix/active/1D6F829D07', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:18:23.871808', 1522775903871808152, 'File', '/var/spool/postfix/active/CAA0129D07', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.091809', 1522775860091809249, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf.d/pcre.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.101810', 1522775860101809764, 'File', '/etc/spwd.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.371814', 1522775679371813602, 'File', '/usr/local/etc/postfix/main.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.091809', 1522775860091809249, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.331815', 1522775679331814556, 'File', '/var/run/ld-elf.so.hints', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.071809', 1522775860071808981, 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.101810', 1522775860101809764, 'File', '/usr/local/etc/postfix/virtual.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.071809', 1522775860071808981, 'File', '/usr/share/zoneinfo/UTC', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.081809', 1522775860081808815, 'File', '/etc/nsswitch.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.171813', 1522775860171812803, 'Netflow', '128.55.12.118:49743', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:38.921812', 1522775678921811896, 'File', '/usr/local/libexec/postfix/smtpd', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:18:23.881811', 1522775903881810756, 'Netflow', '128.55.12.118:49748', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:38.991817', 1522775678991816635, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf.d/pcre.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.091812', 1522775679091812316, 'File', '/etc/spwd.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:38.971813', 1522775678971813016, 'File', '/usr/local/etc/postfix/main.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:39.771808', 1522775859771808237, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.121812', 1522775860121811792, 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.481817', 1522775679481817158, 'Netflow', '128.55.12.118:49739', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:38.931813', 1522775678931812990, 'File', '/var/run/ld-elf.so.hints', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:39.751814', 1522775859751813698, 'File', '/usr/share/zoneinfo/UTC', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.091812', 1522775679091812316, 'File', '/usr/local/etc/postfix/virtual.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:38.971813', 1522775678971813016, 'File', '/etc/nsswitch.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:39.901809', 1522775859901809090, 'File', '/etc/resolv.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.001816', 1522775679001815679, 'File', '/usr/local/libexec/postfix/proxymap', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.071813', 1522775679071813308, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf.d/pcre.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.071813', 1522775679071813308, 'File', '/etc/spwd.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.051814', 1522775679051813839, 'File', '/usr/local/etc/postfix/main.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.071813', 1522775679071813308, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.051814', 1522775679051813839, 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:39.791811', 1522775859791811435, 'File', '/var/run/ld-elf.so.hints', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:39.831810', 1522775859831809852, 'File', '/usr/share/zoneinfo/UTC', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:39.841812', 1522775859841811746, 'File', '/etc/nsswitch.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:39.981810', 1522775859981810054, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf.d/pcre.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:39.991809', 1522775859991809348, 'File', '/etc/spwd.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.221815', 1522775679221815090, 'File', '/usr/local/libexec/postfix/trivial-rewrite', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.271813', 1522775679271813401, 'File', '/usr/local/etc/postfix/main.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:39.981810', 1522775859981810054, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.261816', 1522775679261815627, 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.231814', 1522775679231813664, 'File', '/var/run/ld-elf.so.hints', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.261816', 1522775679261815627, 'File', '/usr/share/zoneinfo/UTC', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.291813', 1522775679291812609, 'File', '/usr/local/etc/postfix/virtual.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:39.971811', 1522775859971811240, 'File', '/etc/nsswitch.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.191813', 1522775679191812688, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf.d/pcre.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.121815', 1522775679121815368, 'File', '/usr/local/libexec/postfix/anvil', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.191813', 1522775679191812688, 'File', '/etc/spwd.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.171817', 1522775679171817469, 'File', '/usr/local/etc/postfix/main.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.191813', 1522775679191812688, 'File', '/usr/local/libexec/postfix/dynamicmaps.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.171817', 1522775679171817469, 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.131814', 1522775679131813853, 'File', '/var/run/ld-elf.so.hints', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.161823', 1522775679161822775, 'File', '/usr/share/zoneinfo/UTC', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 16:00:00.111594', 1522785600111593537, 'File', '/etc/spwd.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 16:02:55.071588', 1522785775071588226, 'Subject', 'wget', '2018-04-03 11:38:00.411945163~2018-04-03 16:02:55.091587698_0')
('2018-04-03 11:38:00.411945', 1522769880411945163, 'File', '/usr/home/user/eraseme/index.html', '2018-04-03 11:38:00.411945163~2018-04-03 16:02:55.091587698_0')
('2018-04-03 16:02:55.071588', 1522785775071588226, 'Netflow', '212.190.125.38:80', '2018-04-03 11:38:00.411945163~2018-04-03 16:02:55.091587698_0')
('2018-04-03 16:02:55.071588', 1522785775071588226, 'Netflow', '128.55.12.10:53', '2018-04-03 11:38:00.411945163~2018-04-03 16:02:55.091587698_0')
('2018-04-03 16:02:55.091588', 1522785775091587698, 'File', '/usr/local/lib/charset.alias', '2018-04-03 11:38:00.411945163~2018-04-03 16:02:55.091587698_0')
('2018-04-03 16:02:54.991594', 1522785774991593668, 'File', '/usr/local/etc/wgetrc', '2018-04-03 11:38:00.411945163~2018-04-03 16:02:55.091587698_0')
('2018-04-03 16:02:54.971588', 1522785774971587826, 'File', '/var/run/ld-elf.so.hints', '2018-04-03 11:38:00.411945163~2018-04-03 16:02:55.091587698_0')
('2018-04-03 15:58:01.151596', 1522785481151595572, 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 11:38:00.411945163~2018-04-03 16:02:55.091587698_0')
('2018-04-03 15:58:01.481594', 1522785481481593701, 'Netflow', '216.87.162.115:80', '2018-04-03 11:38:00.411945163~2018-04-03 16:02:55.091587698_0')
('2018-04-03 15:58:01.121611', 1522785481121611024, 'File', '/usr/home/user/eraseme/www.igodigital.com/index.html', '2018-04-03 11:38:00.411945163~2018-04-03 16:02:55.091587698_0')
('2018-04-03 15:58:01.141596', 1522785481141595816, 'File', '/usr/home/user/eraseme/www.igodigital.com/style.css', '2018-04-03 11:38:00.411945163~2018-04-03 16:02:55.091587698_0')
('2018-04-03 15:58:01.161597', 1522785481161596588, 'File', '/usr/home/user/eraseme/www.igodigital.com/ieupdate.js', '2018-04-03 11:38:00.411945163~2018-04-03 16:02:55.091587698_0')
