('2018-04-03 15:59:47.701592', 1522785587701591550, 'Netflow', '128.55.12.10:53', 'EVENT_RECVFROM', 'Subject', 'lsof', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:58:00.631596', 1522785480631595789, 'Subject', 'sshd', 'EVENT_CLOSE', 'File', '/dev/tty', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:51:53.641604', 1522785113641603702, 'Subject', 'sshd', 'EVENT_CLOSE', 'File', '/etc/spwd.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:58:00.151593', 1522785480151592961, 'Subject', 'sshd', 'EVENT_CLOSE', 'File', '/var/run/ld-elf.so.hints', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 16:02:54.341589', 1522785774341589207, 'Subject', 'sshd', 'EVENT_CLOSE', 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:15:19.961811', 1522775719961811346, 'Subject', 'sshd', 'EVENT_CLOSE', 'File', '/etc/login.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 11:30:06.991955', 1522769406991954772, 'Subject', 'sshd', 'EVENT_CLOSE', 'File', '/etc/nsswitch.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:20:48.331805', 1522776048331805483, 'Subject', 'sshd', 'EVENT_CLOSE', 'File', '/usr/share/zoneinfo/UTC', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:54:45.131601', 1522785285131600544, 'Subject', 'lsof', 'EVENT_CLOSE', 'File', '/etc/nsswitch.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:50:43.351604', 1522785043351604443, 'Subject', 'lsof', 'EVENT_OPEN', 'File', '/etc/resolv.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:16:53.671810', 1522775813671809643, 'Subject', 'alpine', 'EVENT_CLOSE', 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:15:25.211824', 1522775725211823753, 'Subject', 'alpine', 'EVENT_CLOSE', 'File', '/usr/share/zoneinfo/UTC', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:58:01.151596', 1522785481151595572, 'Subject', 'wget', 'EVENT_OPEN', 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 16:02:55.031587', 1522785775031586512, 'Subject', 'wget', 'EVENT_CLOSE', 'File', '/etc/nsswitch.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:58:01.151596', 1522785481151595572, 'Subject', 'wget', 'EVENT_CLOSE', 'File', '/usr/share/zoneinfo/UTC', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:58:01.091597', 1522785481091596986, 'Subject', 'wget', 'EVENT_CLOSE', 'File', '/etc/resolv.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 16:00:00.031594', 1522785600031593589, 'Subject', 'sh', 'EVENT_OPEN', 'File', '/etc/spwd.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 16:02:54.581600', 1522785774581599701, 'Subject', 'bash', 'EVENT_OPEN', 'File', '/etc/login.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:58:00.651601', 1522785480651600801, 'Subject', 'bash', 'EVENT_CLOSE', 'File', '/etc/nsswitch.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 16:00:00.801595', 1522785600801595022, 'Subject', 'imapd', 'EVENT_OPEN', 'File', '/etc/spwd.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 16:00:00.641592', 1522785600641592366, 'Subject', 'imapd', 'EVENT_CLOSE', 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:29.071814', 1522775669071814481, 'Subject', 'imapd', 'EVENT_OPEN', 'File', '/etc/login.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 16:00:00.731595', 1522785600731594940, 'Subject', 'imapd', 'EVENT_CLOSE', 'File', '/usr/share/zoneinfo/UTC', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:29.781810', 1522775849781809772, 'Subject', 'imapd', 'EVENT_CLOSE', 'File', '/etc/nsswitch.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:51:53.951606', 1522785113951605701, 'Subject', 'top', 'EVENT_OPEN', 'File', '/usr/share/misc/termcap.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:49:41.671606', 1522784981671606133, 'Subject', 'top', 'EVENT_OPEN', 'File', '/etc/pwd.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:59:46.431592', 1522785586431592006, 'Subject', 'top', 'EVENT_CLOSE', 'File', '/var/run/ld-elf.so.hints', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:58:46.001593', 1522785526001593440, 'Subject', 'top', 'EVENT_CLOSE', 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 16:00:46.951591', 1522785646951590704, 'Subject', 'top', 'EVENT_CLOSE', 'File', '/usr/share/zoneinfo/UTC', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:27:30.551797', 1522776450551796692, 'Subject', 'top', 'EVENT_CLOSE', 'File', '/etc/nsswitch.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:52:04.081604', 1522785124081604187, 'Subject', 'top', 'EVENT_WRITE', 'File', '/dev/tty', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:50:00.011603', 1522785000011602806, 'Subject', 'atrun', 'EVENT_OPEN', 'File', '/etc/spwd.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 16:00:00.061596', 1522785600061596487, 'Subject', 'atrun', 'EVENT_OPEN', 'File', '/var/run/ld-elf.so.hints', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:15:00.021819', 1522775700021819396, 'Subject', 'atrun', 'EVENT_OPEN', 'File', '/etc/login.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:54:45.101597', 1522785285101597446, 'Subject', 'date', 'EVENT_CLOSE', 'File', '/var/run/ld-elf.so.hints', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 16:00:48.001592', 1522785648001592496, 'Subject', 'date', 'EVENT_CLOSE', 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:18:26.761809', 1522775906761808961, 'Subject', 'date', 'EVENT_CLOSE', 'File', '/usr/share/zoneinfo/UTC', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.861825', 1522775679861825275, 'Subject', 'local', 'EVENT_OPEN', 'File', '/var/spool/postfix/active/6762529D07', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.561810', 1522775860561810114, 'Subject', 'local', 'EVENT_WRITE', 'File', '/var/spool/postfix/active/1D6F829D07', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:18:24.091818', 1522775904091817883, 'Subject', 'local', 'EVENT_WRITE', 'File', '/var/spool/postfix/active/CAA0129D07', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:18:24.151809', 1522775904151809358, 'Subject', 'local', 'EVENT_OPEN', 'File', '/usr/local/libexec/postfix/dynamicmaps.cf.d/pcre.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.521813', 1522775860521812678, 'Subject', 'local', 'EVENT_OPEN', 'File', '/etc/spwd.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.651820', 1522775679651819638, 'Subject', 'local', 'EVENT_OPEN', 'File', '/usr/local/etc/postfix/main.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:18:24.151809', 1522775904151809358, 'Subject', 'local', 'EVENT_OPEN', 'File', '/usr/local/libexec/postfix/dynamicmaps.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.651820', 1522775679651819638, 'Subject', 'local', 'EVENT_CLOSE', 'File', '/usr/share/zoneinfo/UTC', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.791821', 1522775679791821276, 'Subject', 'local', 'EVENT_OPEN', 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.471816', 1522775679471815784, 'Subject', 'cleanup', 'EVENT_WRITE', 'File', '/var/spool/postfix/active/6762529D07', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.021809', 1522775860021809440, 'Subject', 'cleanup', 'EVENT_EXECUTE', 'File', '/usr/local/libexec/postfix/cleanup', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.161809', 1522775860161809438, 'Subject', 'cleanup', 'EVENT_WRITE', 'File', '/var/spool/postfix/active/1D6F829D07', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:18:23.871808', 1522775903871808152, 'Subject', 'cleanup', 'EVENT_WRITE', 'File', '/var/spool/postfix/active/CAA0129D07', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.091809', 1522775860091809249, 'Subject', 'cleanup', 'EVENT_OPEN', 'File', '/usr/local/libexec/postfix/dynamicmaps.cf.d/pcre.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.101810', 1522775860101809764, 'Subject', 'cleanup', 'EVENT_OPEN', 'File', '/etc/spwd.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.371814', 1522775679371813602, 'Subject', 'cleanup', 'EVENT_OPEN', 'File', '/usr/local/etc/postfix/main.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.091809', 1522775860091809249, 'Subject', 'cleanup', 'EVENT_OPEN', 'File', '/usr/local/libexec/postfix/dynamicmaps.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.331815', 1522775679331814556, 'Subject', 'cleanup', 'EVENT_OPEN', 'File', '/var/run/ld-elf.so.hints', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.071809', 1522775860071808981, 'Subject', 'cleanup', 'EVENT_OPEN', 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.101810', 1522775860101809764, 'Subject', 'cleanup', 'EVENT_CLOSE', 'File', '/usr/local/etc/postfix/virtual.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.071809', 1522775860071808981, 'Subject', 'cleanup', 'EVENT_CLOSE', 'File', '/usr/share/zoneinfo/UTC', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.081809', 1522775860081808815, 'Subject', 'cleanup', 'EVENT_CLOSE', 'File', '/etc/nsswitch.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.171813', 1522775860171812803, 'Subject', 'smtpd', 'EVENT_CLOSE', 'Netflow', '128.55.12.118:49743', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:38.921812', 1522775678921811896, 'Subject', 'smtpd', 'EVENT_EXECUTE', 'File', '/usr/local/libexec/postfix/smtpd', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:18:23.881811', 1522775903881810756, 'Subject', 'smtpd', 'EVENT_WRITE', 'Netflow', '128.55.12.118:49748', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:38.991817', 1522775678991816635, 'Subject', 'smtpd', 'EVENT_OPEN', 'File', '/usr/local/libexec/postfix/dynamicmaps.cf.d/pcre.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.091812', 1522775679091812316, 'Subject', 'smtpd', 'EVENT_OPEN', 'File', '/etc/spwd.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:38.971813', 1522775678971813016, 'Subject', 'smtpd', 'EVENT_CLOSE', 'File', '/usr/local/etc/postfix/main.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:39.771808', 1522775859771808237, 'Subject', 'smtpd', 'EVENT_OPEN', 'File', '/usr/local/libexec/postfix/dynamicmaps.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:40.121812', 1522775860121811792, 'Subject', 'smtpd', 'EVENT_OPEN', 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.481817', 1522775679481817158, 'Subject', 'smtpd', 'EVENT_WRITE', 'Netflow', '128.55.12.118:49739', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:38.931813', 1522775678931812990, 'Subject', 'smtpd', 'EVENT_OPEN', 'File', '/var/run/ld-elf.so.hints', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:39.751814', 1522775859751813698, 'Subject', 'smtpd', 'EVENT_OPEN', 'File', '/usr/share/zoneinfo/UTC', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.091812', 1522775679091812316, 'Subject', 'smtpd', 'EVENT_OPEN', 'File', '/usr/local/etc/postfix/virtual.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:38.971813', 1522775678971813016, 'Subject', 'smtpd', 'EVENT_CLOSE', 'File', '/etc/nsswitch.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:17:39.901809', 1522775859901809090, 'Subject', 'smtpd', 'EVENT_CLOSE', 'File', '/etc/resolv.conf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.001816', 1522775679001815679, 'Subject', 'proxymap', 'EVENT_EXECUTE', 'File', '/usr/local/libexec/postfix/proxymap', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.071813', 1522775679071813308, 'Subject', 'proxymap', 'EVENT_OPEN', 'File', '/usr/local/libexec/postfix/dynamicmaps.cf.d/pcre.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.071813', 1522775679071813308, 'Subject', 'proxymap', 'EVENT_OPEN', 'File', '/etc/spwd.db', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 13:14:39.051814', 1522775679051813839, 'Subject', 'proxymap', 'EVENT_OPEN', 'File', '/usr/local/etc/postfix/main.cf', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
